iter	RMSE
0	294.4291478
1	286.7719978
2	279.6008523
3	272.6294983
4	265.681249
5	258.9489451
6	252.3314714
7	246.23538
8	240.2392517
9	234.3201157
10	228.3739479
11	222.7001611
12	217.4056708
13	212.3138252
14	207.1755355
15	202.255026
16	197.7942894
17	192.8629948
18	188.3910843
19	183.8960956
20	179.4052401
21	175.4472151
22	171.23888
23	167.3172428
24	163.531774
25	159.5411827
26	155.9788993
27	152.5805529
28	149.0845826
29	145.7690405
30	142.4550926
31	139.2387795
32	136.329162
33	133.5635325
34	130.7383182
35	128.0638835
36	125.3398744
37	122.7382744
38	120.1464192
39	117.7349748
40	115.4455086
41	113.1937245
42	111.0336204
43	108.8364754
44	106.7682164
45	104.7862392
46	102.8248551
47	101.030135
48	99.22726791
49	97.54361384
50	95.75857193
51	94.10414639
52	92.63366639
53	91.0597063
54	89.48145235
55	88.06206711
56	86.69314084
57	85.33342448
58	84.06222468
59	82.83115671
60	81.65357234
61	80.4919248
62	79.35891871
63	78.18251155
64	77.12827269
65	76.07476069
66	75.05938385
67	74.09007241
68	73.17714291
69	72.33002062
70	71.450724
71	70.63813251
72	69.84577692
73	69.0996571
74	68.35632234
75	67.66216969
76	67.02575058
77	66.37778027
78	65.71097524
79	65.10392857
80	64.53210001
81	63.96464759
82	63.42078446
83	62.85125406
84	62.35889444
85	61.8634447
86	61.39663414
87	60.92788171
88	60.50163822
89	60.08749663
90	59.72526977
91	59.27810207
92	58.94623721
93	58.59658743
94	58.22786724
95	57.93036782
96	57.5644253
97	57.19958607
98	56.85962821
99	56.55813096
100	56.2654467
101	55.9741231
102	55.72833295
103	55.47302732
104	55.20038379
105	54.92543541
106	54.65260336
107	54.4201467
108	54.23094185
109	53.99605667
110	53.78398173
111	53.55384035
112	53.37200548
113	53.18497673
114	52.98090342
115	52.8153473
116	52.65313491
117	52.4912474
118	52.35597701
119	52.20109118
120	52.01180288
121	51.85636787
122	51.6673435
123	51.51214773
124	51.38454849
125	51.21607919
126	51.03922559
127	50.903012
128	50.75822734
129	50.60289841
130	50.48147684
131	50.35911827
132	50.23018246
133	50.11964053
134	49.9928665
135	49.86142961
136	49.73348939
137	49.61454326
138	49.52140222
139	49.41695587
140	49.26022762
141	49.13925463
142	49.02242924
143	48.9606451
144	48.8600289
145	48.75874754
146	48.6760749
147	48.59099681
148	48.45089411
149	48.35787812
150	48.25740924
151	48.17630864
152	48.07883806
153	48.02154622
154	47.93590217
155	47.85518635
156	47.74176777
157	47.67213331
158	47.62073536
159	47.5380359
160	47.39931246
161	47.350919
162	47.2888233
163	47.22050566
164	47.1330249
165	47.07121171
166	47.00609956
167	46.92803826
168	46.85361179
169	46.79667294
170	46.73101329
171	46.63332181
172	46.54005476
173	46.47271328
174	46.39243646
175	46.32241473
176	46.26868426
177	46.18887361
178	46.12102081
179	46.0714771
180	46.03113938
181	45.99240221
182	45.91619464
183	45.83459363
184	45.77034041
185	45.69564386
186	45.63470892
187	45.58006063
188	45.52556334
189	45.45471809
190	45.38753488
191	45.32417336
192	45.27052298
193	45.22987218
194	45.14346939
195	45.07477712
196	45.00213126
197	44.91818009
198	44.86946501
199	44.82229061
200	44.74387783
201	44.70603057
202	44.65167067
203	44.59157384
204	44.53675654
205	44.48444976
206	44.41806795
207	44.37548555
208	44.29202143
209	44.22812988
210	44.1710121
211	44.12919309
212	44.08950947
213	44.00580725
214	43.95992623
215	43.87055074
216	43.82590623
217	43.76769005
218	43.72516555
219	43.66269778
220	43.61056434
221	43.58715359
222	43.52331774
223	43.4561371
224	43.412047
225	43.37440196
226	43.32259916
227	43.26126661
228	43.22224909
229	43.18302995
230	43.13218855
231	43.06276649
232	43.035226
233	43.00696643
234	42.95383919
235	42.89353243
236	42.85696919
237	42.82820988
238	42.77053853
239	42.72195566
240	42.65705157
241	42.60250219
242	42.57125253
243	42.51908769
244	42.47289757
245	42.42379738
246	42.36576735
247	42.3266805
248	42.27946483
249	42.23117058
