iter	MAE
0	0.1801384417
1	0.1722076071
2	0.1647670918
3	0.1575477303
4	0.1505764128
5	0.1441430688
6	0.138265477
7	0.1326247776
8	0.126950455
9	0.1220397101
10	0.1169348905
11	0.1121399158
12	0.1079951539
13	0.103895166
14	0.09989783974
15	0.09602419895
16	0.0923995592
17	0.08901246212
18	0.08561815558
19	0.08240568429
20	0.07951310137
21	0.07679078953
22	0.07428985781
23	0.07179300983
24	0.06968743605
25	0.06768538411
26	0.06572741038
27	0.06370701522
28	0.06179137407
29	0.06005887513
30	0.0586252883
31	0.05710234745
32	0.05558766726
33	0.05416170548
34	0.052907817
35	0.05176606177
36	0.0506204128
37	0.0494983646
38	0.0484301573
39	0.047380507
40	0.04646753277
41	0.04554839623
42	0.04473840126
43	0.04404821174
44	0.04339136522
45	0.04279847627
46	0.04222920125
47	0.04175724329
48	0.04114162544
49	0.04060491434
50	0.04007990375
51	0.03964495197
52	0.0392068208
53	0.03884464999
54	0.03846174415
55	0.03819953088
56	0.0378797427
57	0.03757437318
58	0.03727258389
59	0.03695559898
60	0.03667545442
61	0.03646978514
62	0.03622550182
63	0.03607941647
64	0.03587781163
65	0.03568828326
66	0.03549976081
67	0.03529263188
68	0.03515386073
69	0.0350049693
70	0.03481373889
71	0.03469027836
72	0.03457542885
73	0.03443593005
74	0.03433719552
75	0.03428930954
76	0.03420028949
77	0.03411945446
78	0.0340031977
79	0.03387990791
80	0.03379856853
81	0.03370991152
82	0.03361895379
83	0.03351355269
84	0.03344505427
85	0.03337354777
86	0.033323885
87	0.03326368106
88	0.03321330851
89	0.03316211051
90	0.03309879087
91	0.03306707542
92	0.03302206546
93	0.03288061012
94	0.03284264979
95	0.03277179287
96	0.03273847652
97	0.03266758922
98	0.03264417843
99	0.03257524689
100	0.03247096337
101	0.032429402
102	0.03238075913
103	0.03232092123
104	0.03226758486
105	0.0322311263
106	0.03219863127
107	0.03216140149
108	0.03212712097
109	0.03206073278
110	0.03203185677
111	0.03198065168
112	0.03195836676
113	0.03192289823
114	0.03189770552
115	0.03188648824
116	0.03187065895
117	0.03183015713
118	0.03181323292
119	0.03176528437
120	0.031720549
121	0.03170249098
122	0.03166586314
123	0.031647685
124	0.03161162103
125	0.03150677726
126	0.0314901556
127	0.03146140947
128	0.0313600646
129	0.03133292578
130	0.03132042676
131	0.03129011301
132	0.03121435413
133	0.03119916654
134	0.03116052603
135	0.03114003572
136	0.03110243653
137	0.03106425045
138	0.03103974529
139	0.03102549657
140	0.03099663433
141	0.03093076235
142	0.03090564575
143	0.03088603863
144	0.03087514954
145	0.03085371631
146	0.03078670953
147	0.0307535467
148	0.03071685855
149	0.0306837195
150	0.03066052783
151	0.03064869459
152	0.03056747204
